#	Discipline	Source	Description	Input	Output	Code Vector	Date Vector	Attempts Summary	DSLA	LoMI	LaMI	PMG-D	PMG-X
Question number identifier	Subject or field of study	Where this question originated from	Detailed explanation of the question	What the user will see	Where the user should get at	Vector of codes associated with the question	Dates when this question was attempted	Total attempts; Attempts without help; Attempts with help	Days Since Last Attempt: The number of days that have passed since your most recent attempt on the question, irrespective of the method used.	Longest Memory Interval: The maximum number of days between any memory-based attempt and the attempt immediately preceding it (regardless of whether that preceding attempt was solved from memory or with help)	Latest Memory Interval: The number of days between your most recent memory-based attempt and the previous attempt, calculated only if your latest attempt was solved from memory.	Potential Memory Gains in days: The estimated improvement in your Latest Memory Interval, expressed in days, if you successfully answer the question from memory today.	Potential Memory Gain as a multiplier of my LaMI: Proportional increase in your Latest Memory Interval if you answer the question from memory today.
17	C3	2024-2 Lista 2	L2-Q5	"\text{Calcule a integral} \\
\quad \int_C \left(e^y - x e^x - x^5 e^x\right) dx + \left(x + y^5\right) e^y dy \\
\text{em que } C \text{ é a parte da curva } y = x^{200} \text{ que liga o ponto } (0,0) \text{ ao ponto } (1,1)"	e – 1	0,0,1,1,1	2024-11-25,2025-03-14,2025-03-17,2025-03-24,2025-04-07	5; 3; 2; From memory	10	14	14	-4	0.71
18	C3	2024-2 Lista 2	L2-Q4.2			0,0,1,1,1,1,0	2024-11-25,2025-02-19,2025-02-21,2025-03-04,2025-03-17,2025-04-07,2025-04-17	7; 4; 3; W/H	0	21	0	0	
19	C3	2024-2 Lista 2	L2-Q6			0,0,1,1,1,1,1	2024-11-26,2025-03-17,2025-03-18,2025-03-20,2025-03-24,2025-04-07,2025-04-17	7; 5; 2; From memory	0	14	10	-10	0.00
20	C3		-			0,0,1,1,1,0	2024-12-02,2025-02-10,2025-02-18,2025-03-04,2025-03-20,2025-04-17	6; 3; 3; W/H	0	16	0	0	
21	C3		-			0,1,1	2024-12-02,2025-02-10,2025-03-04	3; 2; 1; From memory	44	70	22	22	2.00
22	C3		-			0,1,1,1	2024-12-02,2025-02-10,2025-03-04,2025-04-17	4; 3; 1; From memory	0	70	44	-44	0.00
23	C3		-	"\text{Calcule } \iint_S (x^2 + y^2) \, dS \text{ em que } S \text{ é a parte do plano } z = 2x + 2y - 1 \text{ interior ao paraboloide } z = x^2 + y^2.
"	"\frac{15\pi}{2}
"	0,1,1,0	2024-12-02,2025-02-10,2025-03-04,2025-04-17	4; 2; 2; W/H	0	70	0	0	
24	C3	2024-2 Lista 3	L3-Q1			0,1,1,0,1,1,1,1,1	2024-12-04,2025-01-12,2025-01-13,2025-03-12,2025-03-13,2025-03-17,2025-03-24,2025-04-07,2025-04-17	9; 7; 2; From memory	0	39	10	-10	0.00
25	C3	2024-2 Lista 3	L3-Q2			0,0,0,0,1,1	2025-01-05,2025-01-06,2025-03-18,2025-03-20,2025-03-24,2025-04-07	6; 2; 4; From memory	10	14	14	-4	0.71
26	C3	2024-2 Lista 3	L3-Q3			0,0,1,0,0,1,1,1	2025-01-06,2025-01-13,2025-01-14,2025-03-20,2025-03-24,2025-03-25,2025-04-07,2025-04-17	8; 4; 4; From memory	0	13	10	-10	0.00
27	C3	2024-2 Lista 3	L3-Q4			0,1,1,1	2025-01-05,2025-01-06,2025-04-07,2025-04-17	4; 3; 1; From memory	0	91	10	-10	0.00
28	C3	2022-2 P3	Q3			0,0,0,1,0,1	2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-04-07,2025-04-17	6; 2; 4; From memory	0	10	10	-10	0.00
29	C3	2024-2 Lista 3	L3-Q9			0,1,0,0,0,1,1,1,1	2025-01-11,2025-01-14,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-17,2025-03-24,2025-04-17	9; 5; 4; From memory	0	24	24	-24	0.00
30	C3	2022-2 P3	Q1			0,1,0	2025-01-12,2025-01-14,2025-04-07	3; 1; 2; W/H	10	2	0	10	
31	C3	2022-2 P3	Q2			0,1,1	2025-01-13, 2025-01-14,2025-04-07	3; 2; 1; From memory	10	82	82	-72	0.12
32	C3		-			0,0,1,1	2025-01-24,2025-02-18,2025-03-03,2025-03-18	4; 2; 2; From memory	30	15	15	15	2.00
33	C3		Prerequisite to q17			0,1,1	2025-02-18,2025-03-03,2025-03-20	3; 2; 1; From memory	28	17	17	11	1.65
34	French		Prerequisite to q35 – At the library 1			0,0,0,0,1,1,1,1	2025-02-18, 2025-02-19, 2025-02-21,2025-03-03,2025-03-04,2025-03-09,2025-03-17,2025-03-27	8; 4; 4; From memory	21	10	10	11	2.10
35	French		At the library 2			0,0,1,1,1,1	2025-02-21,2025-03-03,2025-03-04,2025-03-09,2025-03-17,2025-03-27	6; 4; 2; From memory	21	10	10	11	2.10
36	C3	-	Prerequisite to q19			0,1,1	2025-03-18,2025-03-19,2025-03-24	3; 2; 1; From memory	24	5	5	19	4.80
37	EDO	Workbook for Dummies	C2 p.31			0,1	2025-03-20,2025-03-24	2; 1; 1; From memory	24	4	4	20	6.00
38	EDO	Workbook for Dummies	C2 p.34			0,1,0	2025-03-20,2025-03-24,2025-04-17	3; 1; 2; W/H	0	4	0	0	
39	EDO	Workbook for Dummies	C2 p.39			0,1	2025-03-20,2025-03-24	2; 1; 1; From memory	24	4	4	20	6.00
40	FOO	2025-1 Lista 1	L1-Q1			0,1,1,1,1	2025-03-24,2025-03-25,2025-03-27,2025-03-31,2025-04-17	5; 4; 1; From memory	0	17	17	-17	0.00
41	FOO	2025-1 Lista 1	L1-Q2			0,1,1,1	2025-03-24,2025-03-25,2025-03-27,2025-03-31	4; 3; 1; From memory	17	4	4	13	4.25
42	FOO	2025-1 Lista 1	L1-Q3			0,1,1,1	2025-03-24,2025-03-25,2025-03-27,2025-03-31	4; 3; 1; From memory	17	4	4	13	4.25
43	FOO	2025-1 Lista 1	L1-Q4			0,1,1,1	2025-03-24,2025-03-25,2025-03-27,2025-04-02	4; 3; 1; From memory	15	6	6	9	2.50
44	FOO	2025-1 Lista 1	L1-Q5			0,1,1	2025-03-25,2025-03-26,2025-04-02	3; 2; 1; From memory	15	7	7	8	2.14
45	FOO	2025-1 Lista 1	L1-Q6			0,1,1	2025-03-26,2025-03-27,2025-04-02	3; 2; 1; From memory	15	6	6	9	2.50
46	FOO	2025-1 Lista 1	L1-Q7			0,1,1	2025-03-26,2025-03-27,2025-04-02	3; 2; 1; From memory	15	6	6	9	2.50
47	FOO	2025-1 Lista 1	L1-Q8			0,1,0	2025-03-26,2025-03-27,2025-04-02	3; 1; 2; W/H	15	1	0	15	
48	FOO	2025-1 Lista 1	L1-Q9			0,1,1	2025-03-26,2025-03-27,2025-03-31	3; 2; 1; From memory	17	4	4	13	4.25
49	FOO	2025-1 Lista 1	L1-Q10			0,1	2025-03-27,2025-03-31	2; 1; 1; From memory	17	4	4	13	4.25
50	FOO	2025-1 Lista 1	L1-Q11			0,0	2025-03-27,2025-04-02	2; 0; 2; W/H	15	0	0	15	
51	FOO	2025-1 Lista 1	L1-Q12			0,0	2025-03-27,2025-04-02	2; 0; 2; W/H	15	0	0	15	
52	EDO	2025-1 Exercícios para prova	Q1			0,0,1,0	2025-04-04,2025-04-06,2025-04-07,2025-04-17	4; 1; 3; W/H	0	1	0	0	
53	EDO	2025-1 Exercícios para prova	Q2			0,0,0	2025-04-04,2025-04-06,2025-04-07	3; 0; 3; W/H	10	0	0	10	
54	EDO	2025-1 Exercícios para prova	Q3			0,0	2025-04-04,2025-04-07	2; 0; 2; W/H	10	0	0	10	
55	EDO	2025-1 Exercícios para prova	Q4 nf			0,0	2025-04-04,2025-04-17	2; 0; 2; W/H	0	0	0	0	
56	EDO	2025-1 Exercícios para prova	Q5 nf			0,1	2025-04-04,2025-04-17	2; 1; 1; From memory	0	13	13	-13	0.00
57	EDO	2025-1 Exercícios para prova	Q6 nf			0	2025-04-04	1; 0; 1; W/H	13	0	0	13	
58	EDO	2025-1 Exercícios para prova	Q7 nf			0,1	2025-04-04,2025-04-17	2; 1; 1; From memory	0	13	13	-13	0.00
59	EDO	2025-1 Exercícios para prova	Q8 nf			0	2025-04-04	1; 0; 1; W/H	13	0	0	13	
60	MecSol	2025-1 Lista 1	Q1			0,1	2025-04-09,2025-04-17	2; 1; 1; From memory	0	8	8	-8	0.00
61	MecSol	2025-1 Lista 1	Q2			0,1	2025-04-09,2025-04-17	2; 1; 1; From memory	0	8	8	-8	0.00
62	MecSol	2025-1 Lista 1	Q3			0,1	2025-04-09,2025-04-17	2; 1; 1; From memory	0	8	8	-8	0.00
63	MecSol	2025-1 Lista 1	Q4 nf			0,0	2025-04-04,2025-04-17	2; 0; 2; W/H	0	0	0	0	
64	MecSol	2025-1 Lista 1	Q5 nf			0	2025-04-04	1; 0; 1; W/H	13	0	0	13	
65	MecSol	2025-1 Lista 1	Q6 nf			0	2025-04-04	1; 0; 1; W/H	13	0	0	13	
